year,sending_country_iso,receiving_country_iso,participants
2014,IT,EL,104
2014,IT,ES,5706
2014,IT,FI,288
2014,IT,FR,2611
2014,IT,GE,1
2014,IT,HR,37
2014,IT,HU,197
2014,IT,IE,256
2014,IT,IL,1
2014,IT,IS,13
2014,IT,LT,121
2014,IT,LU,9
2014,IT,LV,59
2014,IT,ME,2
2014,IT,MK,2
2014,IT,MT,64
2014,IT,NL,475
2014,IT,NO,184
2014,IT,PL,651
2014,IT,PT,991
2014,IT,RO,244
2014,IT,RU,6
2014,IT,SE,344
2014,IT,SI,57
2014,IT,SK,85
2014,IT,TR,432
2014,IT,UA,4
2014,IT,UK,1164
2014,JO,RO,1
2014,LI,BE,1
2014,LI,CY,1
2014,LI,CZ,2
2014,LI,DE,3
2014,LI,ES,4
2014,LI,FI,3
2014,LI,FR,4
2014,LI,IE,2
2014,LI,IT,1
2014,LI,NL,4
2014,LI,NO,1
2014,LI,PL,2
2014,LI,PT,1
2014,LI,UK,2
2014,LT,AM,2
2014,LT,AT,36
2014,LT,BE,59
2014,LT,BG,19
2014,LT,CY,29
2014,LT,CZ,122
2014,LT,DE,120
2014,LT,DK,49
2014,LT,EE,22
2014,LT,EL,43
2014,LT,ES,174
2014,LT,FI,61
2014,LT,FR,103
2014,LT,GE,1
2014,LT,HR,59
2014,LT,HU,28
2014,LT,IE,11
2014,LT,IT,123
2014,LT,JO,1
2014,LT,LV,34
2014,LT,MK,1
2014,LT,MT,31
2014,LT,NL,44
2014,LT,NO,33
2014,LT,PL,61
2014,LT,PT,166
2014,LT,RO,11
2014,LT,SE,52
2014,LT,SI,46
2014,LT,SK,17
2014,LT,TR,110
2014,LT,UA,1
2014,LT,UK,26
2014,LU,AT,8
2014,LU,BE,39
2014,LU,BG,1
2014,LU,CY,1
2014,LU,CZ,9
2014,LU,DE,102
2014,LU,EL,1
2014,LU,ES,16
2014,LU,FI,2
2014,LU,FR,98
2014,LU,HU,1
2014,LU,IE,1
2014,LU,IT,5
2014,LU,NL,4
2014,LU,PL,1
2014,LU,PT,13
2014,LU,RU,1
2014,LU,SE,7
2014,LU,UK,5
2014,LV,AT,11
2014,LV,BE,20
2014,LV,BG,17
2014,LV,CY,4
2014,LV,CZ,36
2014,LV,DE,96
2014,LV,DK,13
2014,LV,EE,26
2014,LV,EL,22
2014,LV,ES,79
2014,LV,FI,37
2014,LV,FR,56
2014,LV,GE,2
2014,LV,HR,13
2014,LV,HU,18
2014,LV,IE,1
2014,LV,IS,2
2014,LV,IT,57
2014,LV,JO,3
2014,LV,LT,65
2014,LV,LU,1
2014,LV,MT,4
2014,LV,NL,36
2014,LV,NO,22
2014,LV,PL,44
2014,LV,PT,51
2014,LV,RO,4
2014,LV,SE,21
2014,LV,SI,10
2014,LV,SK,7
2014,LV,TR,30
2014,LV,UK,15
2014,MD,AT,1
2014,MD,DE,1
2014,MD,EE,2
2014,MD,FR,4
2014,MD,IE,1
2014,MD,IS,2
2014,MD,IT,1
2014,MD,LI,1
2014,MD,PL,2
2014,MD,TR,1
2014,ME,ES,1
2014,ME,IT,2
2014,MK,AT,5
2014,MK,BE,1
2014,MK,BG,1
2014,MK,CZ,5
2014,MK,DE,7
2014,MK,ES,2
2014,MK,FI,2
2014,MK,FR,1
2014,MK,HR,12
